engine,N,avg_ms,fps
moderngl_cpu,20,0.6252644996825422,1599.323167247969
moderngl_cpu,30,1.0917410877924196,915.9680909528405
moderngl_cpu,40,1.4123677162492865,708.0309104314712
moderngl_cpu,50,1.863434150405859,536.643594184532
moderngl_cpu,60,2.5094998706080367,398.4857746805566
moderngl_cpu,70,3.281906764956634,304.70091675904564
moderngl_cpu,80,4.0412535502492215,247.44797315138285
moderngl_cpu,90,4.815561352561988,207.66010996163038
moderngl_cpu,100,6.587587459098929,151.8006411617013
moderngl_cpu,110,8.106587450199116,123.35646856871169
moderngl_cpu,120,9.315918606630158,107.34314480681465
moderngl_cpu,130,11.18092346278295,89.43805074139183
moderngl_cpu,140,12.59869182227566,79.37332019122073
moderngl_cpu,150,14.71760146865991,67.94585395789044
moderngl_cpu,160,17.592875436030067,56.84119140365242
moderngl_cpu,170,19.427920385372364,51.47231305070193
moderngl_cpu,180,21.630903224646044,46.23015459015181
moderngl_cpu,190,25.57759746744097,39.09671349206864
moderngl_cpu,200,27.226656757930698,36.728710722395824
moderngl_cpu,210,28.826398570423148,34.690424388499004
moderngl_cpu,220,29.832942650126128,33.51999203456962
moderngl_cpu,230,33.583961673624195,29.776117830237077
moderngl_cpu,240,35.4012719308549,28.247572628271136
moderngl_cpu,250,42.20459705752813,23.694101347228184
moderngl_cpu,260,39.84484510318212,25.0973494164779
moderngl_cpu,270,43.59072826311762,22.94065825108286
moderngl_cpu,280,45.17756666625954,22.134879627034916
moderngl_cpu,290,49.20309267529264,20.323925705226056
moderngl_cpu,300,52.150428199615234,19.175297970178086
moderngl_cpu,310,56.54310833779164,17.685621279006188
moderngl_cpu,320,58.258745711230276,17.164804833881526
moderngl_cpu,330,63.13509688334307,15.839050692323084
moderngl_cpu,340,65.89790000092059,15.174990401606578
moderngl_cpu,350,68.81469666259363,14.53177952528244
moderngl_cpu,360,71.23614137526602,14.037818173391564
moderngl_cpu,370,74.6230148167039,13.400691495194806
moderngl_cpu,380,77.0542230837656,12.97787402142645
moderngl_cpu,390,81.9615160021931,12.200848017174822
moderngl_cpu,400,85.5257666723143,11.692382762629029
