engine,N,avg_ms,fps
pygame_cpu,20,1.1307775822859008,884.347209977819
pygame_cpu,30,1.3735436561090144,728.043841600789
pygame_cpu,40,2.0103724418621294,497.42026859149496
pygame_cpu,50,2.6657706435242963,375.1260456068136
pygame_cpu,60,3.4111662667558833,293.1548689800537
pygame_cpu,70,3.994861925753367,250.3215426679399
pygame_cpu,80,5.11684179207525,195.43305043137315
pygame_cpu,90,5.812611370469625,172.03971438386492
pygame_cpu,100,5.663216479330334,176.57809897428615
pygame_cpu,110,7.652795403237701,130.67120539730172
pygame_cpu,120,8.31617166501625,120.24763800953187
pygame_cpu,130,10.758337095662732,92.95116811343959
pygame_cpu,140,12.463990062032682,80.23112943953323
pygame_cpu,150,13.406600671485942,74.59012351481962
pygame_cpu,160,15.362713846395938,65.09266591817682
pygame_cpu,170,17.145137603068328,58.325574466141234
pygame_cpu,180,19.39447087549957,51.561086993266144
pygame_cpu,190,21.033259998320748,47.54374738294672
pygame_cpu,200,23.68157882216003,42.22691432482746
pygame_cpu,210,24.772825929692683,40.3668117169225
pygame_cpu,220,27.357602705140724,36.552910383923795
pygame_cpu,230,28.889977138689055,34.61408069654766
pygame_cpu,240,33.168462295940174,30.149121508186415
pygame_cpu,250,34.67833104037583,28.836451178567515
pygame_cpu,260,37.95789811377993,26.344978244118526
pygame_cpu,270,40.23778599919751,24.852262001193196
pygame_cpu,280,41.8470166635719,23.896566105045824
pygame_cpu,290,46.00886592181103,21.73494129804096
pygame_cpu,300,50.42218999587931,19.832538017125472
pygame_cpu,310,50.35905250697397,19.85740299346409
pygame_cpu,320,54.30210000407454,18.41549405870059
pygame_cpu,330,58.283959994358675,17.15737915022916
pygame_cpu,340,59.91663235267077,16.689856567938858
pygame_cpu,350,62.048981821686596,16.116299907607708
pygame_cpu,360,65.62282581017503,15.238600100712926
pygame_cpu,370,71.35679655515685,14.014082025487612
pygame_cpu,380,73.20165000107538,13.660894255598192
pygame_cpu,390,75.03884073769397,13.326431887395534
pygame_cpu,400,80.06623200839385,12.489659809333398
